sigma,NBBg_R,NBBg_a,NBBg_kD,NBBg_kE
0.25,2.552125974,0.00318883,0.850565736,6.816460435
0.25,2.418628516,0.003269966,0.804941694,13.26068411
0.25,2.305755617,0.003244806,1.339387174,9.626020131
0.25,2.327736042,0.002953966,1.534041022,8.165158346
0.25,2.251325858,0.003126765,0.807022872,5.933692942
0.25,2.193843522,0.003653693,0.988250048,23.07074382
0.25,2.686246659,0.003411065,2.309160622,7.750347545
0.25,2.652977851,0.004049487,0.693707574,4.862075666
0.25,2.874867211,0.004330345,0.805683116,7.243946682
0.25,2.515537526,0.003633747,1.70793553,13.59875698
0.25,2.798914096,0.003393061,1.201542303,6.950840604
0.25,2.722570317,0.00330393,1.932340764,4.307714054
0.25,2.389805664,0.003027346,17.51396061,4.451515905
0.25,3.335805047,0.003960875,1.534905036,6.923716001
0.25,3.106670446,0.003193362,7.289292668,8.236049384
0.25,2.585443279,0.003015652,1.190059879,5.753793942
0.25,2.347336187,0.002875656,0.638161702,7.001648822
0.3,2.806127187,0.003460071,0.738745877,8.5105834
0.3,2.843064074,0.004188589,1.526757709,7.050636042
0.3,2.51985171,0.004033261,3.103465991,4.318338703
0.3,2.563159901,0.002759339,483.6292831,2.715527766
0.3,2.558543249,0.003153495,0.367951136,7.6501005
0.3,2.83258505,0.003116739,7.364314011,2.799304016
0.3,2.823208242,0.003882814,1.023932888,12.23862104
0.3,2.20789987,0.002311391,1.419841809,2.62869867
0.3,2.870589971,0.002755467,7923.506407,2.435900729
0.3,2.51292978,0.002801514,2.146227597,2.687927979
0.3,2.329686263,0.002755688,0.932966755,8.67789375
0.3,2.352962453,0.003286951,0.696006353,5.108849245
0.3,2.566998678,0.003198308,2.624583021,3.317453872
0.3,2.964293403,0.00426491,0.797217902,4.956508887
0.3,2.837440746,0.003502952,0.645702926,10.01490633
0.3,2.488078299,0.003055445,0.404051104,8.810810626
0.3,2.243108418,0.002978788,3.972777586,6.0663564
0.3,2.340646683,0.002778508,1.970440119,4.854786526
0.3,2.572815949,0.003341496,1.240540774,6.275443163
0.3,2.580920071,0.003432542,0.872132249,7.626693429
0.3,2.342039497,0.002748843,2.927000096,4.250837411
0.3,2.863955311,0.00319001,1.156525217,4.131422111
0.3,2.260803894,0.003120477,0.409132561,4.85212023
0.3,2.492188146,0.003284735,0.988614602,4.532670251
0.3,2.191721032,0.002561528,1.202311427,3.125597506
0.3,2.298733984,0.002444733,2.707690256,5.646244401
0.3,2.220132738,0.003169242,1.672840445,11.1766379
0.3,2.057714071,0.002788749,0.790738996,5.527032082
0.3,2.434716151,0.003262487,0.605171674,11.6085396
0.3,2.668645064,0.003842389,1.203122417,5.28562368
0.3,2.769217991,0.003476085,1.179300345,6.103727612
0.3,2.279684061,0.003438753,0.576051368,11.10929236
0.3,2.642742061,0.003156207,714.3702128,4.350664202
0.3,2.695096104,0.003545144,1.930835974,5.482623107
0.3,2.25163517,0.003362073,0.55086294,3.871651217
0.3,2.559686795,0.003917323,0.471275502,15.52464331
0.3,2.493106161,0.00364336,0.995558288,4.917179246
0.3,3.162434691,0.003481945,1.989593245,6.519405817
0.3,2.501147423,0.003840793,3.119821513,6.756078788
0.3,2.632326368,0.003538355,1.42332694,5.484885699
0.3,2.296499699,0.003377643,0.526072091,10.99217408
0.3,2.45275816,0.002584818,0.892454562,6.911102703
0.3,2.548005216,0.003395448,1.189725496,7.628556972
0.3,3.191126435,0.003715068,0.709182502,10.43359617
0.3,2.625640412,0.002985464,1.416692229,5.859030686
0.3,2.526490465,0.00302793,1.609691545,3.219275518
0.3,2.641175257,0.002975877,1274.400991,3.506658067
0.3,2.895088775,0.003796248,3.465107779,8.093009708
0.3,2.55684228,0.00219681,1087.067267,2.108687595
0.35,2.476430015,0.00309374,0.930949171,4.212241328
0.35,2.883275213,0.003439585,1.496543235,3.12085227
0.35,3.016665305,0.002888176,1.315513319,2.661623069
0.35,2.844820264,0.003335013,0.668369058,4.022589537
0.35,2.393284689,0.003167023,1.345090619,2.909277089
0.35,2.748246378,0.003980082,0.971027466,5.409064956
0.35,2.952237818,0.003158404,412.8223294,3.431309459
0.35,2.425756011,0.003690788,1.637306607,4.055707056
0.35,2.748823604,0.004107903,0.472322111,5.794460975
0.35,2.086603779,0.003034088,1.041129274,6.052624219
0.35,2.555946376,0.00330482,1.576616785,8.324491715
0.35,2.026977696,0.002478772,0.92669306,6.220262687
0.35,2.31996817,0.002972139,0.535161018,2.572892374
0.35,1.933616365,0.002897142,0.507102402,5.897490608
0.35,2.522735911,0.002692261,1.007706875,2.58786145
0.35,3.051178058,0.002926797,4.676196975,2.901887152
0.35,2.530474395,0.003472894,0.93665424,2.849535245
0.35,2.595862211,0.003065579,3.309912785,3.41931083
